deviceIndex,streamType,hwTimestampUs,globalTimestampUs,sysTimestampUs,frameNumber,,device1 globaltime ,device2 globaltime,device2-device0,device2-device1
0,COLOR,1787124605724585,1787124605727740,1787124605743637,97,,1787124605727374,1787124605726992,-750,-380
0,COLOR,1787124605757920,1787124605761077,1787124605776543,98,,1787124605760709,1787124605760323,-750,-380
0,COLOR,1787124605791253,1787124605794412,1787124605809924,99,,1787124605794043,1787124605793653,-760,-390
0,COLOR,1787124605824589,1787124605827750,1787124605843286,100,,1787124605827377,1787124605826984,-770,-390
0,COLOR,1787124605857920,1787124605861083,1787124605876600,101,,1787124605860709,1787124605860312,-770,-390
0,COLOR,1787124605891254,1787124605894419,1787124605910112,102,,1787124605894043,1787124605860312,-34100,-33730
0,COLOR,1787124605924589,1787124605927756,1787124605943290,103,,1787124605927376,1787124605926971,-780,-400
0,COLOR,1787124605957922,1787124605961091,1787124605976597,104,,1787124605960710,1787124605960301,-790,-410
0,COLOR,1787124605991261,1787124605994432,1787124606009928,105,,1787124605994049,1787124605993637,-800,-410
0,COLOR,1787124606024590,1787124606027764,1787124606043283,106,,1787124606027377,1787124606026961,-800,-410
0,COLOR,1787124606057921,1787124606061097,1787124606076713,107,,1787124606060708,1787124606060288,-810,-420
0,COLOR,1787124606091256,1787124606094434,1787124606109968,108,,1787124606094042,1787124606093618,-820,-430
0,COLOR,1787124606124589,1787124606127769,1787124606143489,109,,1787124606127375,1787124606127373,-390,0
0,COLOR,1787124606157917,1787124606161099,1787124606177177,110,,1787124606160703,1787124606160699,-400,-10
0,COLOR,1787124606191255,1787124606194412,1787124606210360,111,,1787124606194268,1787124606194034,-380,-230
0,COLOR,1787124606224588,1787124606227747,1787124606243662,112,,1787124606227603,1787124606227366,-380,-240
0,COLOR,1787124606257931,1787124606261091,1787124606276833,113,,1787124606260947,1787124606260707,-390,-240
0,COLOR,1787124606291267,1787124606294430,1787124606310496,114,,1787124606294283,1787124606294040,-390,-240
0,COLOR,1787124606324593,1787124606327758,1787124606343576,115,,1787124606327610,1787124606327364,-390,-250
